id,title,filename,mime,width,height,alt,caption,url
1759,affaires2,affaires2.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/affaires2.jpg
1761,affaires3,affaires3.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/affaires3.jpg
1763,affaires4,affaires4.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/affaires4.jpg
1765,affaires5,affaires5.jpg,image/jpeg,1300,731,,,https://www.inzovumall.com/wp-content/uploads/2026/05/affaires5.jpg
1767,affaires6,affaires6.jpg,image/jpeg,1300,732,,,https://www.inzovumall.com/wp-content/uploads/2026/05/affaires6.jpg
1776,restauration1,restauration1.jpg,image/jpeg,1300,730,,,https://www.inzovumall.com/wp-content/uploads/2026/05/restauration1.jpg
1778,restauration2,restauration2.jpg,image/jpeg,1300,730,,,https://www.inzovumall.com/wp-content/uploads/2026/05/restauration2.jpg
1780,restauration3,restauration3.jpg,image/jpeg,1300,732,,,https://www.inzovumall.com/wp-content/uploads/2026/05/restauration3.jpg
1794,hotal1,hotal1.jpg,image/jpeg,853,636,,,https://www.inzovumall.com/wp-content/uploads/2026/05/hotal1.jpg
1796,hotel2,hotel2.jpg,image/jpeg,853,636,,,https://www.inzovumall.com/wp-content/uploads/2026/05/hotel2.jpg
